Page,Category,Severity,Issue,Evidence,Recommendation,File
About,Spacing,Low,Excessive spacing detected,Found 6 instances of very large spacing,Consider using a more consistent spacing scale,src/pages/About.jsx
About,Color,Medium,Hardcoded color values detected,"Found 41 hardcoded hex color(s): #1a1a1a, #1a1a1a, #474747...",Use design tokens or Tailwind color utilities instead of hardcoded values,src/pages/About.jsx
About,Accessibility,Medium,Missing focus states,No focus: or focus-visible: classes found,Add focus states to interactive elements for keyboard navigation,src/pages/About.jsx
AuditionDetail,Accessibility,Medium,Missing H1 heading,No H1 heading found on page,Add a descriptive H1 heading for proper semantic structure and SEO,src/pages/AuditionDetail.jsx
AuditionDetail,Accessibility,Medium,Missing focus states,No focus: or focus-visible: classes found,Add focus states to interactive elements for keyboard navigation,src/pages/AuditionDetail.jsx
AuditionDetail,Responsive,High,No responsive breakpoints detected,Page does not use any Tailwind responsive modifiers,"Add responsive classes (sm:, md:, lg:) to ensure proper display on all devices",src/pages/AuditionDetail.jsx
Index,Accessibility,Medium,Missing focus states,No focus: or focus-visible: classes found,Add focus states to interactive elements for keyboard navigation,src/pages/Auditions/Index.jsx
Index,Responsive,High,No responsive breakpoints detected,Page does not use any Tailwind responsive modifiers,"Add responsive classes (sm:, md:, lg:) to ensure proper display on all devices",src/pages/Auditions/Index.jsx
New,Responsive,High,No responsive breakpoints detected,Page does not use any Tailwind responsive modifiers,"Add responsive classes (sm:, md:, lg:) to ensure proper display on all devices",src/pages/Auditions/New.jsx
Show,Spacing,Medium,Inline spacing styles detected,Found 1 inline style(s) with hardcoded spacing,Use Tailwind spacing utilities instead of inline styles for consistency,src/pages/Auditions/Show.jsx
Show,Accessibility,Medium,Missing focus states,No focus: or focus-visible: classes found,Add focus states to interactive elements for keyboard navigation,src/pages/Auditions/Show.jsx
Show,Responsive,High,No responsive breakpoints detected,Page does not use any Tailwind responsive modifiers,"Add responsive classes (sm:, md:, lg:) to ensure proper display on all devices",src/pages/Auditions/Show.jsx
Auditions,Accessibility,Medium,Missing H1 heading,No H1 heading found on page,Add a descriptive H1 heading for proper semantic structure and SEO,src/pages/Auditions.jsx
Auditions,Accessibility,Medium,Missing focus states,No focus: or focus-visible: classes found,Add focus states to interactive elements for keyboard navigation,src/pages/Auditions.jsx
Auditions,Responsive,High,No responsive breakpoints detected,Page does not use any Tailwind responsive modifiers,"Add responsive classes (sm:, md:, lg:) to ensure proper display on all devices",src/pages/Auditions.jsx
AuthCallback,Spacing,Medium,Inline spacing styles detected,Found 1 inline style(s) with hardcoded spacing,Use Tailwind spacing utilities instead of inline styles for consistency,src/pages/AuthCallback.jsx
AuthCallback,Accessibility,Medium,Missing H1 heading,No H1 heading found on page,Add a descriptive H1 heading for proper semantic structure and SEO,src/pages/AuthCallback.jsx
AuthCallback,Accessibility,Medium,Missing focus states,No focus: or focus-visible: classes found,Add focus states to interactive elements for keyboard navigation,src/pages/AuthCallback.jsx
AuthCallback,Responsive,High,No responsive breakpoints detected,Page does not use any Tailwind responsive modifiers,"Add responsive classes (sm:, md:, lg:) to ensure proper display on all devices",src/pages/AuthCallback.jsx
Bookmarks,Accessibility,Medium,Missing H1 heading,No H1 heading found on page,Add a descriptive H1 heading for proper semantic structure and SEO,src/pages/Bookmarks.jsx
Bookmarks,Accessibility,Medium,Missing focus states,No focus: or focus-visible: classes found,Add focus states to interactive elements for keyboard navigation,src/pages/Bookmarks.jsx
Dashboard,Color,Medium,Hardcoded color values detected,"Found 17 hardcoded hex color(s): #1a1a1a, #474747, #0CCE6B...",Use design tokens or Tailwind color utilities instead of hardcoded values,src/pages/Dashboard.jsx
Dashboard,Accessibility,Medium,Missing H1 heading,No H1 heading found on page,Add a descriptive H1 heading for proper semantic structure and SEO,src/pages/Dashboard.jsx
Dashboard,Accessibility,Medium,Missing focus states,No focus: or focus-visible: classes found,Add focus states to interactive elements for keyboard navigation,src/pages/Dashboard.jsx
Discover,Color,Medium,Hardcoded color values detected,"Found 12 hardcoded hex color(s): #474747, #0CCE6B, #1a1a1a...",Use design tokens or Tailwind color utilities instead of hardcoded values,src/pages/Discover.jsx
Discover,Accessibility,Medium,Missing H1 heading,No H1 heading found on page,Add a descriptive H1 heading for proper semantic structure and SEO,src/pages/Discover.jsx
Features,Color,Medium,Hardcoded color values detected,"Found 48 hardcoded hex color(s): #1a1a1a, #1a1a1a, #474747...",Use design tokens or Tailwind color utilities instead of hardcoded values,src/pages/Features.jsx
Features,Accessibility,Medium,Missing focus states,No focus: or focus-visible: classes found,Add focus states to interactive elements for keyboard navigation,src/pages/Features.jsx
Features,Visual Hierarchy,Low,Too many different text sizes,Found 11 different text size classes,"Use a consistent typographic scale (e.g., text-sm, text-base, text-lg, text-xl, text-2xl, text-3xl)",src/pages/Features.jsx
Feed,Accessibility,Medium,Missing H1 heading,No H1 heading found on page,Add a descriptive H1 heading for proper semantic structure and SEO,src/pages/Feed.jsx
Feed,Accessibility,Medium,Missing focus states,No focus: or focus-visible: classes found,Add focus states to interactive elements for keyboard navigation,src/pages/Feed.jsx
